GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IBM Java Training May 2026,day1.Challenge,Main,86,0,10,0,20,0,8,0,3,0
IBM Java Training May 2026,day6,Main,279,0,14,0,94,0,15,0,6,0
IBM Java Training May 2026,day6,DBConnect,24,0,0,0,11,0,2,0,2,0
IBM Java Training May 2026,day7,LogAnalyzer,0,276,0,26,0,56,0,15,0,2
IBM Java Training May 2026,day7,MathTest,28,0,2,0,7,0,6,0,5,0
IBM Java Training May 2026,day7,MalformedLogEntryException,0,4,0,0,0,2,0,1,0,1
IBM Java Training May 2026,day4,Main.new Comparator() {...},9,0,0,0,2,0,2,0,2,0
IBM Java Training May 2026,day4,Main,336,0,26,0,59,0,15,0,2,0
IBM Java Training May 2026,day4,Employee,29,0,0,0,9,0,5,0,5,0
IBM Java Training May 2026,day5,StudentFile,122,0,8,0,39,0,6,0,2,0
IBM Java Training May 2026,day2,Book,52,0,4,0,17,0,7,0,5,0
IBM Java Training May 2026,day2,Main,107,0,8,0,32,0,6,0,2,0
IBM Java Training May 2026,day2,Library,54,0,2,0,12,0,6,0,5,0
IBM Java Training May 2026,day3,Gateway,3,0,0,0,1,0,1,0,1,0
IBM Java Training May 2026,day3,PaymentDetails,26,0,0,0,8,0,2,0,2,0
IBM Java Training May 2026,day3,PaymentType,9,0,0,0,4,0,2,0,2,0
IBM Java Training May 2026,day3,PayPalPayment,26,0,2,0,10,0,5,0,4,0
IBM Java Training May 2026,day3,OfflinePaymentType,4,0,0,0,2,0,1,0,1,0
IBM Java Training May 2026,day3,PaymentGateway,9,0,0,0,4,0,2,0,2,0
IBM Java Training May 2026,day3,BankTransferPayment,23,0,2,0,9,0,4,0,3,0
IBM Java Training May 2026,day3,Main,206,0,12,0,66,0,9,0,2,0
IBM Java Training May 2026,day3,CreditCardPayment,23,0,2,0,9,0,4,0,3,0
IBM Java Training May 2026,day3,OnlinePaymentType,4,0,0,0,2,0,1,0,1,0
IBM Java Training May 2026,day3,Payment,15,0,0,0,6,0,3,0,3,0
IBM Java Training May 2026,day1,Assignments,266,0,44,0,77,0,34,0,6,0
IBM Java Training May 2026,day5.Assignment,MalformedLogEntryException,4,0,0,0,2,0,1,0,1,0
IBM Java Training May 2026,day5.Assignment,AnalyzeLog,327,0,26,0,76,0,17,0,4,0
IBM Java Training May 2026,day5.Assignment,Main,11,0,0,0,4,0,2,0,2,0
